REASONING INFO,QUESTION NUMBER,PLAYER INFO,VOTE FOR AGENT,VOTE FOR AGENT,VOTE FOR AGENT,VOTE FOR HUMAN PLAYER
Game 2,Question 1,evil 1,4,4,3,3
TAOQ,Question 2,evil 1,2,2,1,2
reasoning,Question 1,evil 2,4,2,4,3
Evil wins,Question 2,evil 2,5,4,5,2
,Question 1,good,4,5,1,
,Question 2,good,4,5,1,
Game 2,Question 1,evil 1,1,1,1,3
UNBO,Question 2,evil 1,1,1,1,3
reasoning,Question 1,evil 2,2,1,1,4
Evil wins,Question 2,evil 2,2,1,1,4
,Question 1,good,1,1,1,
,Question 2,good,3,3,3,
Game 2,Question 1,evil 1,4,4,4,4
SDAZ,Question 2,evil 1,4,4,4,4
reasoning,Question 1,evil 2,2,4,3,4
Good Wins,Question 2,evil 2,2,4,3,4
,Question 1,good,4,4,4,
,Question 2,good,4,4,4,
Game 1,Question 1,evil 1,4,4,4,3
NZGB,Question 2,evil 1,4,4,3,4
reasoning,Question 1,evil 2,5,1,5,5
Good Wins,Question 2,evil 2,4,2,2,4
,Question 1,good,5,5,5,
,Question 2,good,5,5,5,
Game 1,Question 1,evil 1,1,1,1,3
WBBU,Question 2,evil 1,1,1,1,2
reasoning,Question 1,evil 2,1,1,1,2
Evil Wins,Question 2,evil 2,1,1,1,1
,Question 1,good,3,5,4,
,Question 2,good,3,5,5,
Game 1,Question 1,evil 1,3,1,2,4
GTKL,Question 2,evil 1,2,1,2,4
reasoning,Question 1,evil 2,2,2,5,4
Evil Wins,Question 2,evil 2,4,5,1,3
,Question 1,good,4,2,2,
,Question 2,good,4,3,2,
Game 1,Question 1,evil 1,2,3,2,4
JTGN,Question 2,evil 1,2,2,2,3
reasoning,Question 1,evil 2,4,4,4,4
Evil Wins,Question 2,evil 2,4,5,5,4
,Question 1,good,3,3,3,
,Question 2,good,1,2,2,
Game 2,Question 1,evil 1,3,4,2,2
JULA,Question 2,evil 1,4,3,4,3
reasoning,Question 1,evil 2,3,4,2,3
Evil Wins,Question 2,evil 2,4,4,2,2
,Question 1,good,4,3,2,
,Question 2,good,2,3,2,
Game 2,Question 1,evil 1,5,5,5,3
GFYU,Question 2,evil 1,5,5,5,3
reasoning,Question 1,evil 2,4,4,4,4
Good Wins,Question 2,evil 2,4,3,5,3
,Question 1,good,5,5,5,
,Question 2,good,5,5,5,
Game 1,Question 1,evil 1,3,1,1,5
GYYE,Question 2,evil 1,3,1,1,5
reasoning,Question 1,evil 2,5,4,5,3
Good Wins,Question 2,evil 2,5,4,5,4
,Question 1,good,5,3,3,
,Question 2,good,4,1,1,
Game 2,Question 1,evil 1,4,1,3,4
DKXR,Question 2,evil 1,5,1,3,4
reasoning,Question 1,evil 2,3,4,2,4
Evil Wins,Question 2,evil 2,4,4,2,3
,Question 1,good,3,4,2,
,Question 2,good,3,3,2,
Game 2,Question 1,evil 1,3,3,2,2
TBED,Question 2,evil 1,4,4,3,3
reasoning,Question 1,evil 2,1,5,5,5
Evil Wins,Question 2,evil 2,1,5,1,1
,Question 1,good,3,3,4,
,Question 2,good,3,4,4,
Game 1,Question 1,evil 1,2,2,2,3
XVRZ,Question 2,evil 1,2,2,2,3
reasoning,Question 1,evil 2,2,4,2,3
Evil Wins,Question 2,evil 2,2,3,2,4
,Question 1,good,4,4,4,
,Question 2,good,4,2,5,
Game 1,Question 1,evil 1,5,3,3,1
VASH,Question 2,evil 1,5,3,2,1
reasoning,Question 1,evil 2,4,5,4,2
Evil Wins,Question 2,evil 2,5,5,2,2
,Question 1,good,4,4,4,
,Question 2,good,4,4,4,
Game 2,Question 1,evil 1,4,4,4,
TWMO,Question 2,evil 1,3.25,3.25,3.25,
reasoning - 4 agents,Question 1,evil 2,3.5,3.5,3.5,
Evil Wins,Question 2,evil 2,3.25,3.25,3.25,
,Question 1,good,,,,
,Question 2,good,,,,
